"","OBJECTID","FS_UNIT_NA","FS_UNIT_ID","PHYSIOGNOM","USGS_ANDER","USGS_AND_1","LOCAL_ANDE","SAF_COVER_","SRM_COVER_","NVCS_CLASS","NVCS_SUBCL","NVCS_FORMA","NVCS_DIVIS","NVCS_MACRO","NVCS_GROUP","NVCS_ALLIA","NVCS_ASSOC","CULTURAL_C","CULTURAL_S","CULTURAL_F","CULTURAL_1","CULTURAL_G","CULTURAL_2","CULTURAL_T","CULTURAL_3","NVCS_LEGAC","AGGREGATIO","REGIONAL_D","REG_DOMINA","TOTAL_VEGE","TREE_CFA_C","TREE_CFA_V","SHRUB_CFA_","SHRUB_CFA1","CONIFER_CF","HARDWOOD_C","HERBACEOUS","OS_TREE_DI","OS_TREE__1","OS_TREE__2","REGIONAL_1","HARDWOOD_1","TREE_CFA_1","OS_TREE__3","OS_TREE__4","OS_TREE__5","REGIONAL_2","HERBACEO_1","SHRUB_CF_1","LOCAL_CLAS","LOCAL_CL_1","LOCAL_CL_2","LOCAL_CL_3","LOCAL_CL_4","LOCAL_CL_5","LOCAL_OS_T","LOCAL_OS_1","LOCAL_OS_2","MAP_UPDATE","UPDATE_COM","SOURCE_DAT","SOURCE_D_1","SOURCE_D_2","REV_DATE","DATA_SOURC","ACCURACY","ECOREGION_","ECOREGION1","ECOREGIO_1","ECOREGIO_2","ECOREGIO_3","CALVEGZONE","TILE","COVERTYPE","R05_DATA_S","CAUSE_DATE","PROD","CANOPYSTRU","REFORESTAT","ORIGIN_YEA","CWHR_LIFEF","CWHR_TYPE","CWHR_SIZE","CWHR_DENSI","SOURCE_D_3","CON_CFA","HDW_CFA","SHB_CFA","TOTAL_TREE","OS_TREE__6","OS_TREE__7","ORIG_FID","combined_c","tree_shrub","prefire","postfire","centroid_l","Shape_Leng","Shape_Area","random_sor","aspect_30m","cwd","dem_30m","insolation_30m","rain_30m","rdnbr_2007","slope_30m","tmax_30m","tmean_30m","tmin_30m","TPI_five_30m","TPI_queen_30m","TWI_30m","vpd_aug","vpd_jan","years_since_burn_30m"
"10","11",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","MP",NA,NA,"01",0,"40",0,"01",NA,NA,NA,0,NA,"QC","01","01",NA,0,NA,"CQ",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,"NS",0,"WHR_SHB","MCH","0","X","1993/05/29","00","00","35","00","N","N","840","40_01_","01_40","25_75","25_75","34.7044889375906, -119.784339503737",1070.00235095,17125.0108266,0.24664,250.039814668543,778.231344784007,1712.75088321461,1565657.25,1136.05062327665,648.267856373506,16.8850143657011,17.7605887020335,12.6841177659876,7.60529408735388,-0.559216869885431,-0.222106932196766,5.58178065804874,25.4899826049805,8.68656051860136,84
"11","12",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"15",0,NA,"QC","01","01","00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,2002,8,15,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","AIR16","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","2002/08/15","05","05",NA,"15","15","02","841","_01_","20_","25_75","25_75","34.712638794701, -119.811424340329",529.99952527,7699.99362717,0.785127,103.448396682739,704.321008300781,1983.34522705078,1628102.975,1242.27443847656,332.435218048096,11.2108819961548,16.8833332061768,12.2755553245544,7.66333332061768,-0.0777994759380817,-0.0519409176427871,5.66432089805603,21.8307020187378,8.46747426986694,84
"12","13",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"15",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","1997/08/28","05","05",NA,"15","15","15","842","_01_","20_","25_75","25_75","34.7083015943567, -119.792749359305",729.999134856,13275.0067096,0.493498,102.020331319173,738.91533203125,1793.41608886719,1523319.075,1213.14001464844,245.434511311849,23.8604077657064,17.6200008392334,12.8199996948242,8.01000022888184,0.787054233749708,0.323330115278562,4.54828797976176,23.7919386545817,8.84270826975504,84
"13","14",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","1997/08/28","05","05",NA,"15","15","07","843","_01_","20_","25_75","1_25","34.7097496318246, -119.790161167142",519.999524743,9225.00419328,0.400691,91.8574482310902,741.003756436435,1757.97005948153,1521301.10227273,1213.14001464844,455.938518177379,11.8396337249062,17.6200008392334,12.8199996948242,8.01000022888184,0.223624194887551,0.0722241653235291,5.49673999439586,24.2444534301758,8.79520138827237,84
"14","15",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"15",0,NA,"QC","01","01","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","15","07","844","_20_","20_","25_75","25_75","34.7083283686221, -119.79014328394",789.999637575,12124.9962854,0.978724,126.097506713867,739.462072753906,1756.34997558594,1519386.04166667,1213.14001464844,274.575312296549,10.6098033587138,17.6200008392334,12.8199996948242,8.01000022888184,-0.493108886977037,-0.190338922974964,6.88003554344177,23.965863164266,8.83756001790365,84
"15","16",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"40",0,NA,0,"20",NA,NA,"07",0,NA,"QC","20","20","07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"AC",NA,2010,7,1,"2010/08/16","30",0,"200","260","M262","M262B","M262Ba","7","48","MIX","NAIP","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","3","M","2010/07/01","25","25",NA,"55","07","07","845","_20_","40_","1_25","1_25","34.7196483427336, -119.78640511429",1270.0000605,18825.0085384,0.859376,267.79278717041,759.352612304687,1629.92161865234,1396241.3,1185.35235595703,588.176609802246,29.1333787918091,17.6573329925537,12.4956666946411,7.32433347702026,-0.488945182785392,-0.172711777128279,5.9116114616394,27.1331695556641,8.68779168128967,84
"16","17",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1993/05/29","15","05",NA,"25","25","15","846","_20_","20_","25_75","25_75","34.709313202152, -119.784254048407",460.000721887,6950.00966029,0.768863,191.039556503296,745.12427520752,1760.4065246582,1636650.21875,1183.30004882812,391.464157104492,10.3443812727928,17.6100006103516,12.710000038147,7.80999994277954,-0.675638843327761,-0.238992267288268,6.91019004583359,24.2809946537018,8.73719143867493,84
"17","18",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","25","15","847","_20_","20_","75_100","75_100","34.7094907716251, -119.787603520439",1060.00005055,16150.0087709,0.344595,281.662431504991,739.505584716797,1789.80090332031,1462438.82638889,1193.06250678168,214.757283104791,18.241943332884,17.6132725609673,12.7459876802233,7.87543206744724,-0.069696875082122,-0.040680876855428,5.23720020718045,24.3866523106893,8.75700521469116,84
"18","19",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","25","15","847","_20_","20_","25_75","25_75","34.7097669889079, -119.789318371543",1020.00044857,18850.0096193,0.257014,246.465883890788,742.140941801525,1753.67886788504,1518581.2202381,1213.14001464844,317.54691859654,13.1631126744407,17.6200008392334,12.8199996948242,8.01000022888184,0.274612334512529,0.115102609176011,5.69908273787726,24.2979271298363,8.78068569728306,84
"19","20",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","25","15","847","_20_","20_","75_100","75_100","34.7138685557683, -119.808914331384",520.001124726,8100.00626947,0.652975,73.808539920383,690.044616699219,1948.37485080295,1493642.76388889,1260.13000488281,243.083826700846,19.2553503248427,16.75,12.1199998855591,7.48000001907349,-1.05597905649079,-0.402902299538255,5.95398680369059,21.7955816056993,8.37891239590115,84
"20","21",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","25","15","847","_20_","20_","25_75","25_75","34.7137180580431, -119.811529116573",2204.4499977,44384.5042211,0.215187,183.659549713135,702.818720499674,1965.16472117106,1459207.5,1259.86792246501,348.574586868286,18.3708097338676,16.754722237587,12.1259026726087,7.4871527949969,0.0436200732947327,0.0165854557514346,5.38805732131004,21.7718924681346,8.43871833880742,84
"21","22",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","25","15","847","_20_","20_","75_100","25_75","34.7160880727969, -119.800304824202",1159.99965521,23400.0097081,0.942106,64.8539672264686,706.651249812199,1814.92075289213,1251458.82211538,1231.33996582031,299.513487082261,23.8356730754559,17.6299991607666,12.9099998474121,8.18000030517578,-0.162094237139592,-0.0577241309846823,5.21683669090271,23.3488747523381,8.84383733455951,84
"22","23",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"20",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1997,8,28,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_CON","SMC","4","P","1997/08/28","15","05",NA,"25","25","15","847","_20_","20_","25_75","25_75","34.717076864003, -119.80757645034",840.000640012,8700.00550967,0.86933,99.2276123046875,679.896594238281,1896.20950927734,1516836.0375,1260.13000488281,348.462004089355,19.3548356056213,16.75,12.1199998855591,7.48000001907349,-0.758138030767441,-0.283649867027998,6.61932549476623,21.8977518081665,8.37626075744629,84
"23","24",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","1993/05/29","05","05",NA,"15","25","15","848","_01_","20_","25_75","25_75","34.7089773252003, -119.790342469127",750.000035693,12475.007971,0.148759,151.639813936674,739.169644869291,1763.08524263822,1631019.15384615,1213.14001464844,371.242087730995,5.47844208203829,17.6200008392334,12.8199996948242,8.01000022888184,0.0799664855003357,0.0314105439644593,6.56693744659424,24.0937027564416,8.82355088454026,84
"24","25",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","1993/05/29","05","05",NA,"15","25","15","848","_01_","20_","25_75","25_75","34.7113825565512, -119.798460139917",850.000640435,14874.9934955,0.79077,168.472028844497,691.54350011489,1835.6233771829,1657608.20588235,1242.34997558594,477.396762623506,18.0886309287127,17.4200000762939,12.8500003814697,8.27000045776367,-0.277689209098325,-0.0989457685226465,5.4702688665951,23.2434950435863,8.77189625010771,84
"25","26",NA,NA,NA,"4","43",NA,"243","004","C01","S15","F008","D192","M023","G344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","MP",NA,NA,"20",0,NA,0,"01",NA,NA,"25",0,NA,"QC","01","01","15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,"FI",NA,1993,5,29,"2010/08/16","31",0,"200","260","M262","M262B","M262Ba","7","48","MIX","TM","2007/09/02","P",NA,NA,0,"WHR_MIX","MHC","4","S","1993/05/29","05","05",NA,"15","25","15","848","_01_","20_","25_75","25_75","34.711772455049, -119.793779424587",1680.00078004,48600.0165488,0.542968,170.404757343639,714.141146573153,1802.51157004616,1578588.96818182,1213.88698286577,397.274075317383,13.7268567475406,17.6193947878751,12.8150906302712,8.00090931979093,0.55281895541332,0.212615534273738,5.28989031965082,24.3094382546165,8.7387659593062,84
